登记时间,功能点,问题摘要,触发条件,影响范围,优先级,是否解决,解决时间,人工确认是否解决,AI确认是否解决,备注
2026-07-20,垂直标签栏宽度/编辑器组布局,垂直标签页宽度手动调到可调最小值后触发布局动作可能导致垂直标签组宽度变为允许最大值且右侧标签组被压到最小宽度；实际现象为垂直标签栏先变最小随后又自动变最大，右侧即使有多个标签组也会全部被压到最小宽度,场景一：将垂直标签页所在编辑器组宽度手动调节到可调最小值后点击垂直标签项切换标签；场景二：将垂直标签页宽度手动调节到可调最小值后关闭垂直标签页再重新打开垂直标签页,影响编辑器组宽度保持和右侧所有编辑器组可用空间,,是,2026-07-20,,,追加宽度保存/应用诊断日志；恢复历史保存比例和自动应用比例时限制最大值为 0.3，避免先最小后最大并压缩右侧所有标签组
2026-07-20,标签排序/固定项,不管任何排序方式，固定项没有优先排在本组最前面，多个固定项之间也没有按当前规则排序,在垂直标签栏存在固定标签并切换任意排序方式或不排序时,影响固定标签的优先展示和组内导航预期,,是,2026-07-20,,,排序函数改为先按固定状态分区，固定项和非固定项各自按当前排序规则稳定排序；不排序时固定项保持原相对顺序并置顶
2026-07-20,标签排序/跟随 VS Code,分组跟随 VS Code 时垂直标签排序后，VS Code 原生横向标签页顺序没有同步,在“跟随 VS Code”分组模式下切换排序方式或固定状态导致垂直标签顺序变化,影响垂直标签栏与原生标签栏顺序一致性,,是,2026-07-20,,,跟随 VS Code 模式下排序或固定状态变化后，按垂直标签快照逐组执行 VS Code 组内移动命令同步横向标签顺序
2026-07-20,标签拖拽,标签页拖拽偶尔可以生效但大多数时候无法拖拽,在垂直标签栏尝试拖拽标签页进行排序或移动,影响标签整理效率和拖拽交互可用性,,是,2026-07-20,,,新增独立拖拽手柄和 drag requestId 日志；跟随 VS Code 模式下拖拽排序改为按稳定标识循环执行左右移动直到到达投放位置
2026-07-20,标签排序/激活状态,当前激活标签为 A 时执行排序后可能变为激活其它标签页,在垂直标签栏中已有激活标签并切换排序方式或触发排序同步,影响排序操作后当前编辑上下文保持，可能打断用户正在查看或编辑的文件,,是,2026-07-20,,,排序同步 VS Code 原生标签顺序前记录原活动用户标签稳定标识，同步完成后按标识恢复原活动标签
2026-07-20,手工分组/右键菜单,其它分组方式下右键菜单仍可点击新建分组并隐式切换到手动分组,在跟随 VS Code、父目录或文件类型分组模式下打开右键菜单,影响分组模式边界和用户对当前分组方式的预期,,是,2026-07-20,,,右键菜单在非手动分组模式置灰新建分组按钮，宿主也拒绝非手动模式的 createGroup 消息
2026-07-20,手工分组/新建分组,手动分组模式下通过右键菜单选择新建分组无法新建,切换到手动分组后在右键菜单点击新建分组并输入名称,影响手动整理标签的基础流程,,是,2026-07-20,,,新建分组按钮按当前快照的手动分组模式启用，并保留宿主侧手动模式创建和刷新逻辑
2026-07-20,手工分组/移动分组,右键标签时移动到分组的选项平铺在右键菜单中而不是通过“移动分组”悬停列表选择,手动分组模式下右键任意标签并查看移动分组入口,影响右键菜单简洁性和分组选择效率,,是,2026-07-20,,,将多个移至分组按钮收束为“移动分组”子菜单，悬停或键盘聚焦时展开分组列表
2026-07-20,标签切换/激活样式,点击标签页后实际标签已切换但垂直标签页背景色有时没有更新为激活样式,在垂直标签栏点击标签切换，VS Code 已激活目标标签但 Webview 未及时收到或渲染激活状态变化,影响当前标签识别和切换反馈,,是,2026-07-20,,,点击时先在 Webview 内乐观更新激活行，并在宿主完成激活后主动刷新快照同步真实状态
2026-07-20,手工分组/右键菜单,手动分组模式右键菜单中的“移动分组”文案不符合预期,手动分组模式下右键标签并查看分组移动子菜单入口,影响菜单文案一致性,,是,2026-07-20,,,将入口文案改为“移至分组”
2026-07-20,跟随 VS Code/右键菜单,跟随 VS Code 模式右键菜单提供“移至新组”且缺少“移至分组”，移动后垂直标签分组与横向标签组无法通过该入口同步,跟随 VS Code 分组模式下右键标签并移动标签到其它分组,影响跟随 VS Code 模式下垂直标签与横向标签分组一致性,,是,2026-07-20,,,移除“移至新组”，新增“移至分组”子菜单；选择目标 VS Code 编辑器组后调用原生移动命令移动真实横向标签并刷新垂直快照
